"time","group","sim","state","value"
51,1,2,"I",0.586
52,1,2,"I",0.581
53,1,2,"I",0.578
54,1,2,"I",0.583
55,1,2,"I",0.584
56,1,2,"I",0.583
57,1,2,"I",0.575
58,1,2,"I",0.574
59,1,2,"I",0.573
60,1,2,"I",0.573
61,1,2,"I",0.58
62,1,2,"I",0.585
63,1,2,"I",0.592
64,1,2,"I",0.589
65,1,2,"I",0.595
66,1,2,"I",0.594
67,1,2,"I",0.592
68,1,2,"I",0.583
69,1,2,"I",0.581
70,1,2,"I",0.588
71,1,2,"I",0.583
72,1,2,"I",0.583
73,1,2,"I",0.587
74,1,2,"I",0.587
75,1,2,"I",0.584
76,1,2,"I",0.586
77,1,2,"I",0.577
78,1,2,"I",0.582
79,1,2,"I",0.578
80,1,2,"I",0.58
1,1,2,"R",0
2,1,2,"R",0
3,1,2,"R",0
4,1,2,"R",0
5,1,2,"R",0.001
6,1,2,"R",0.001
7,1,2,"R",0.001
8,1,2,"R",0.001
9,1,2,"R",0.001
10,1,2,"R",0.001
11,1,2,"R",0.001
12,1,2,"R",0.003
13,1,2,"R",0.007
14,1,2,"R",0.009
15,1,2,"R",0.009
16,1,2,"R",0.013
17,1,2,"R",0.014
18,1,2,"R",0.016
19,1,2,"R",0.018
20,1,2,"R",0.022
21,1,2,"R",0.025
22,1,2,"R",0.027
23,1,2,"R",0.027
24,1,2,"R",0.03
25,1,2,"R",0.036
26,1,2,"R",0.043
27,1,2,"R",0.055
28,1,2,"R",0.062
29,1,2,"R",0.066
30,1,2,"R",0.074
31,1,2,"R",0.08
32,1,2,"R",0.083
33,1,2,"R",0.089
34,1,2,"R",0.098
35,1,2,"R",0.107
36,1,2,"R",0.118
37,1,2,"R",0.126
38,1,2,"R",0.137
39,1,2,"R",0.148
40,1,2,"R",0.153
41,1,2,"R",0.173
42,1,2,"R",0.19
43,1,2,"R",0.197
44,1,2,"R",0.207
45,1,2,"R",0.209
46,1,2,"R",0.214
47,1,2,"R",0.215
48,1,2,"R",0.222
49,1,2,"R",0.235
50,1,2,"R",0.248
51,1,2,"R",0.251
52,1,2,"R",0.268
53,1,2,"R",0.264
54,1,2,"R",0.258
55,1,2,"R",0.259
56,1,2,"R",0.259
57,1,2,"R",0.258
58,1,2,"R",0.255
59,1,2,"R",0.254
60,1,2,"R",0.254
61,1,2,"R",0.253
62,1,2,"R",0.246
63,1,2,"R",0.243
64,1,2,"R",0.235
65,1,2,"R",0.238
66,1,2,"R",0.249
67,1,2,"R",0.257
68,1,2,"R",0.252
69,1,2,"R",0.246
70,1,2,"R",0.237
71,1,2,"R",0.234
72,1,2,"R",0.238
73,1,2,"R",0.242
74,1,2,"R",0.245
75,1,2,"R",0.254
76,1,2,"R",0.25
77,1,2,"R",0.257
78,1,2,"R",0.259
79,1,2,"R",0.249
80,1,2,"R",0.254
1,1,2,"incidence",0
2,1,2,"incidence",0
3,1,2,"incidence",0
4,1,2,"incidence",0
5,1,2,"incidence",0
6,1,2,"incidence",0
7,1,2,"incidence",0
8,1,2,"incidence",0
9,1,2,"incidence",0
10,1,2,"incidence",0
11,1,2,"incidence",0
12,1,2,"incidence",0
13,1,2,"incidence",0
14,1,2,"incidence",1
15,1,2,"incidence",1
16,1,2,"incidence",0
17,1,2,"incidence",2
18,1,2,"incidence",0
19,1,2,"incidence",2
20,1,2,"incidence",1
21,1,2,"incidence",0
22,1,2,"incidence",3
23,1,2,"incidence",5
24,1,2,"incidence",1
25,1,2,"incidence",2
26,1,2,"incidence",2
27,1,2,"incidence",4
28,1,2,"incidence",3
29,1,2,"incidence",4
30,1,2,"incidence",3
31,1,2,"incidence",2
32,1,2,"incidence",5
33,1,2,"incidence",3
34,1,2,"incidence",5
35,1,2,"incidence",2
36,1,2,"incidence",6
37,1,2,"incidence",9
38,1,2,"incidence",2
39,1,2,"incidence",4
40,1,2,"incidence",3
41,1,2,"incidence",2
42,1,2,"incidence",1
43,1,2,"incidence",2
44,1,2,"incidence",3
45,1,2,"incidence",2
46,1,2,"incidence",3
47,1,2,"incidence",2
48,1,2,"incidence",2
49,1,2,"incidence",3
50,1,2,"incidence",1
51,1,2,"incidence",2
52,1,2,"incidence",2
53,1,2,"incidence",3
54,1,2,"incidence",4
55,1,2,"incidence",3
56,1,2,"incidence",0
57,1,2,"incidence",2
58,1,2,"incidence",0
59,1,2,"incidence",3
60,1,2,"incidence",2
61,1,2,"incidence",2
62,1,2,"incidence",0
63,1,2,"incidence",2
64,1,2,"incidence",1
65,1,2,"incidence",4
66,1,2,"incidence",3
67,1,2,"incidence",3
68,1,2,"incidence",0
69,1,2,"incidence",0
70,1,2,"incidence",0
71,1,2,"incidence",4
72,1,2,"incidence",1
73,1,2,"incidence",3
74,1,2,"incidence",2
75,1,2,"incidence",1
76,1,2,"incidence",5
77,1,2,"incidence",2
78,1,2,"incidence",1
79,1,2,"incidence",1
80,1,2,"incidence",4
1,1,3,"S",0.995
2,1,3,"S",0.995
3,1,3,"S",0.995
4,1,3,"S",0.994
5,1,3,"S",0.993
6,1,3,"S",0.992
7,1,3,"S",0.992
8,1,3,"S",0.992
9,1,3,"S",0.992
10,1,3,"S",0.99
11,1,3,"S",0.987
12,1,3,"S",0.985
13,1,3,"S",0.98
14,1,3,"S",0.979
15,1,3,"S",0.977
16,1,3,"S",0.973
17,1,3,"S",0.97
18,1,3,"S",0.964
19,1,3,"S",0.956
20,1,3,"S",0.951
21,1,3,"S",0.941
22,1,3,"S",0.933
23,1,3,"S",0.927
24,1,3,"S",0.919
25,1,3,"S",0.908
26,1,3,"S",0.896
27,1,3,"S",0.882
28,1,3,"S",0.873
29,1,3,"S",0.854
30,1,3,"S",0.838
31,1,3,"S",0.809
32,1,3,"S",0.779
33,1,3,"S",0.76
34,1,3,"S",0.724
35,1,3,"S",0.689
36,1,3,"S",0.665
37,1,3,"S",0.629
38,1,3,"S",0.601
39,1,3,"S",0.56
40,1,3,"S",0.541
41,1,3,"S",0.509
42,1,3,"S",0.476
43,1,3,"S",0.435
44,1,3,"S",0.398
45,1,3,"S",0.37
46,1,3,"S",0.34
47,1,3,"S",0.322
48,1,3,"S",0.306
49,1,3,"S",0.277
50,1,3,"S",0.248
51,1,3,"S",0.235
